INFO   | jvm 1    | main    | 2015/11/04 09:01:43.295 | INFO  [localhost-startStop-1] [hybrisserver]              Java(TM) SE Runtime Environment, 1.7.0_71-b14
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.296 | INFO  [localhost-startStop-1] [hybrisserver]              C:\Program Files\Java\jdk1.7.0_71\jre
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.296 | INFO  [localhost-startStop-1] [hybrisserver] VM Locale:   language=en,country=GB,region=null
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.297 | INFO  [localhost-startStop-1] [hybrisserver] Cache:       RegionCache is not yet initialized. [de.hybris.platform.cache.impl.RegionCacheAdapter]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.297 | INFO  [localhost-startStop-1] [hybrisserver] Server type: tomcat
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.298 | INFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.298 | INFO  [localhost-startStop-1] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.298 | INFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.299 | INFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.299 | INFO  [localhost-startStop-1] [hybrisserver] --- Extensions in dependency order ( options: 
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.299 | INFO  [localhost-startStop-1] [hybrisserver] ---  @deprecated: is deprecated, p: platform extension,*: auto-required 
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.300 | INFO  [localhost-startStop-1] [hybrisserver] ---  ?: lazy-loaded, i: got items.xml, b: got beans.xml, c: got core module 
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.300 | INFO  [localhost-startStop-1] [hybrisserver] ---  w: got web module, h: got HMC module ) 
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.300 | INFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.301 | INFO  [localhost-startStop-1] [hybrisserver] core 5.4.0.5 [p*cib]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.301 | INFO  [localhost-startStop-1] [hybrisserver] testweb 5.4.0.5 [p*w]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.301 | INFO  [localhost-startStop-1] [hybrisserver] scripting 5.4.0.5 [p*ci]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.302 | INFO  [localhost-startStop-1] [hybrisserver] paymentstandard 5.4.0.5 [p*ci]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.302 | INFO  [localhost-startStop-1] [hybrisserver] mediaweb 5.4.0.5 [p*cw]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.302 | INFO  [localhost-startStop-1] [hybrisserver] maintenanceweb 5.4.0.5 [p*w]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.303 | INFO  [localhost-startStop-1] [hybrisserver] deliveryzone 5.4.0.5 [p*ci]
